learning_rate,epoch,training_loss,training_error,test_loss,test_error
0.100000,1,0.109874,17.542175,0.112444,17.588440
0.100000,2,0.102133,16.348923,0.102840,16.691580
0.100000,3,0.077686,12.083390,0.080141,12.356751
0.100000,4,0.089061,14.099575,0.091852,14.499252
0.100000,5,0.082368,12.728021,0.082442,12.805182
0.100000,6,0.103755,16.499794,0.112992,18.036871
0.100000,7,0.090265,13.811548,0.094268,15.296462
0.100000,8,0.093171,14.620766,0.096499,15.645242
0.100000,9,0.091797,14.113291,0.096156,14.947683
0.100000,10,0.076741,11.685639,0.084627,13.851520
0.100000,11,0.085819,13.235496,0.096350,14.997509
0.100000,12,0.081798,12.632012,0.085440,12.954659
0.100000,13,0.098325,14.552188,0.103811,15.595416
0.100000,14,0.098456,15.183103,0.094579,14.947683
0.100000,15,0.085957,13.221780,0.092523,14.449427
0.100000,16,0.087855,13.358935,0.092310,14.698555
0.100000,17,0.084198,12.618297,0.091817,13.901345
0.100000,18,0.073722,10.890139,0.080233,12.655705
0.100000,19,0.071986,10.574681,0.074458,10.961635
0.100000,20,0.070321,10.876423,0.076478,11.310413
0.100000,21,0.079915,12.042244,0.088391,13.751868
0.100000,22,0.078573,11.781649,0.085050,12.755356
0.100000,23,0.074135,11.137018,0.083247,12.605880
0.100000,24,0.083168,12.289124,0.086633,13.054310
0.100000,25,0.082623,12.330270,0.085967,12.207274
0.100000,26,0.069256,10.396379,0.076521,11.659193
0.100000,27,0.068664,10.423810,0.073776,11.559542
0.100000,28,0.076137,11.260458,0.082008,13.004484
0.100000,29,0.075412,11.685639,0.079623,12.356751
0.100000,30,0.078549,12.179399,0.079596,11.958146
0.100000,31,0.071209,10.588397,0.074111,11.310413
0.100000,32,0.068152,10.506104,0.081600,12.954659
0.100000,33,0.075001,11.260458,0.078615,11.509716
0.100000,34,0.081638,12.536003,0.089476,13.253613
0.100000,35,0.077580,11.905088,0.082762,12.257100
0.100000,36,0.081187,12.357701,0.091167,14.000997
0.100000,37,0.105702,15.910026,0.113961,17.488789
0.100000,38,0.098237,14.456179,0.103368,15.246636
0.100000,39,0.080158,12.014812,0.089460,13.602391
0.100000,40,0.077510,11.438760,0.088242,13.801694
0.100000,41,0.077670,11.603347,0.090205,13.353264
0.100000,42,0.082166,12.261692,0.094612,14.399601
0.100000,43,0.088872,13.537238,0.094132,14.499252
0.100000,44,0.092829,14.017282,0.097541,14.449427
0.100000,45,0.099187,15.032231,0.103882,15.146986
0.100000,46,0.101354,15.292827,0.109655,16.641754
0.100000,47,0.111206,16.952408,0.121811,19.182859
0.100000,48,0.092959,14.291593,0.098721,15.346288
0.100000,49,0.086828,13.057194,0.095236,14.250125
0.100000,50,0.091111,13.194349,0.092781,14.100648
0.100000,51,0.081722,12.001098,0.092857,13.253613
0.100000,52,0.086925,13.098340,0.087940,13.452915
0.100000,53,0.084343,12.426279,0.091123,13.851520
0.100000,54,0.079823,11.699355,0.088834,13.552566
0.100000,55,0.085990,12.865176,0.092472,13.851520
0.100000,56,0.080371,11.973666,0.091298,13.901345
0.100000,57,0.097391,14.264161,0.111192,16.591928
0.100000,58,0.075372,11.589631,0.084403,12.705530
